taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma spatiosum;strain CS1						KX138649		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma spatiosum;strain CXR2007050901						MT175511		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma spatiosum;strain Guo-2006						DQ822483		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';Condylostoma spatiosum;strain KR-09122402						HM140390		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';'CXM08110901 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';'CXM08110901 lineage';strain CXM08110901						FJ868178		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';'CXR07041101 lineage'	species	true				AB505481		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';'CXR07041101 lineage';strain CXR07041101						MT175509		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';'SUAS-2014 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Cminutum group';'SUAS-2014 lineage';strain SKS314						KJ651816		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';Condylostentor	genus		Jankowski 1978					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';Condylostentor;Condylostentor auriculatus	species		Kahl 1932	Stentor auriculatus; Condylostoma auricula				type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';Condylostentor;Condylostentor auriculatus;strain CY2019041201						MT175515		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';Condylostentor;Condylostentor auriculatus;strain Fernandes-2015						KP970235		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';Condylostentor;Condylostentor auriculatus;strain Miao-2006						DQ445605		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';Condylostoma	genus		Bory 1824					polyphyletic genus; type species not yet sequenced
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';Condylostoma;Condylostoma patense	species			Kondyliostoma patensis				type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade'								18S-based group; Condylostomides and Linostomella form a well-supported clade
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Condylostomides	genus		Silva Neto 1994					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Condylostomides;Condylostomides etoschensis	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Condylostomides;Condylostomides etoschensis;strain FL1						MK543444		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Condylostomides;Condylostomides etoschensis;strain FL2						MK543442		
