taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor polymorphus;strain STPUK						KP970246		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor polymorphus;strain Zhu-2001						AF357144		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor pyriformis	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor pyriformis;strain Hachimantai-1204						LC533384		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor pyriformis;strain Jodo-daira-1436						LC533385		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor pyriformis;strain Toriko-daira-1256						LC533386		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor pyriformis;strain Toriko-daira-fresh						LC533387		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor roeselii	species					GU070867; GU070869		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor roeselii;strain 2-Groitzsch						FN659824		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor roeselii;strain 3-Spain						FN659825		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor roeselii;strain Fernandes-2015						KP970247		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor roeselii;strain KNM						LT628481		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor roeselii;strain OK-6						MN160214		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor roeselii;strain SKS240						KJ651826		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor roeselii;strain STRD						KP970248		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor roeselii;strain Zhu-2001						AF357913		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor tartari	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor tartari;strain HK002						KY968738		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor tartari;strain SKS266						KY979516		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor tartari;strain SKS396						KJ651828		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Stentor;Stentor tartari;strain SKS878						KY979515		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae	family		Stein 1867			JX268942		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia	genus		Isquith 1968			JX268854		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia clarissima	species		Isquith 1968					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia clarissima;strain CY2019030101						MT175527		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia clarissima;strain FXP2010042201						KM222109		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia clarissima;strain YY2012050702						KR815914		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia paraclarissima	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia paraclarissima;strain FXP09051701						MT175526		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia paraclarissima;strain KR-09040702						HM140405		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia paraclarissima;strain SKS670						KU848241		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia paraclarissima;strain SKS686						KU848242		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;'RM2-SGM24 lineage'	species	true				AB505532		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum	genus		Ehrenberg 1834	Peltierius; Spirogonella; Spironectum				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade'								18S-based group
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum dharwarensis	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum dharwarensis;strain FYB2013040805						MT175523		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum dharwarensis;strain Sad						HG939537		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui	species					LC150081		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain 06103102						MT175524		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain CY2018040901						MT175521		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain GNS4						HG939535		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain LarnCyp						HG939533		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain Pozz						HG939536		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS071						KU848227; KX119518		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS1020						MK688553		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS1032						MH460446		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS164						MK688545		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS165						MK688546		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS315						MK688547		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS583						MK688548		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS787						KX119519		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS963						MK688549		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS964						MK688550		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS977						MK688551		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS983						MK688552		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SpirWS						HG939534		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain YY2013041401						MT175522		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain ZTY2016110502						MN176348		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';'Steres3 lineage'	species	true						morphologically identified as S. teres but genetically distinct
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';'Steres3 lineage';strain A522						KY855541		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';'Steres3 lineage';strain Mdg3						HG939538		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Pseudoblepharisma tenue	species							based on 18S Pseudoblepharisma would be a junior synonym of Spirostomum and P. tenue should be transfered to this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Pseudoblepharisma tenue;strain FL1						MK543441		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage'	species	true						morphologically identified as S. minus but genetically distinct
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain 6103103						FJ998026		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain 72						HE664173		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain bLdG1						LN870002		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain CY2018043001						MK929559		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain Fernandes-2011						JQ282896		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain Fernandes-2015						KP970239		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain JD1						LT628484		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain PBG1						HG939547		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS1018						MK688535		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS1044						MK688536		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS1058						MK688537		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS1073						MK688538		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS161						KU848229		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS182						KU848230		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS214						MK688529		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS215						KJ651821		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS255						KU848234		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS386						KU848237		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS731						KU848238		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS743						KU848239		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS794						MK688530		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS840						MK688531		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS939						MK688532		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS940						MK688533		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SmPS						HG939546		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SS5						HG939548		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum	species		(Müller 1786) Ehrenberg 1834	Trichoda ambigua				type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain 06103105						MT175525		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain 1S.ambiguum-18S						MT640275		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain 6103104						FJ998027		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain Fernandes-2015						KP970238		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain Hirt-1995						L31518		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain KKR19						KY855542		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain Schmidt-2006						AM398201		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain Seef2						HG939552		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS1050						MK688526		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS167						KJ651819		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS169						MK688527		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS184						MK688522		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS185						KU848231		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS204						KU848232		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS254						KU848233		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS363						KU848236		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS779						KU848240		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS947						MK688523		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS949						MK688524		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS989						MK688525		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SpiAm1						JQ723981		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain Spirot1						KF639912		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SS4-2						HG939551		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum caudatum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum caudatum;strain SKS302						KJ651820		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum caudatum;strain SKS813						MK688528		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus	species					FN826788; FN826789; FN826837; FN826838; FN826843-FN826845; FN826852; FN826873; FN826876; FN826883; FN826895; FN826896; FN826898; LT993460; LT993462		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain 1-cLPN1						LN870107		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain Gmn						HG939543		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain Ind						HG939544		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain KL						LT628487		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain KS						LT628486		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain KTC14						KY855546		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain Mdg2-2						HG939539		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain Mdg4						HG939540		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain OBS7						MK968523		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain Sam						HG939545		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain Schmidt-2006						AM398200		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain SKS991						MK688534		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain SmJFp1						HG939541		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain SPMPA						KP970240		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain SS03						HG315608		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain Thd2						HG939542		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum semivirescens	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum semivirescens;strain Onsbring-2018						MH295830		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum subtilis	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum subtilis;strain 2S.subtilis-18S						MT640276		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum subtilis;strain CY2018050201						MK929558		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum subtilis;strain KN						LT628485		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum subtilis;strain SKS1056						MK688540		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum subtilis;strain SKS937						MK688539		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum subtilis;strain SS4-1						HG939549		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum subtilis;strain Zur3						HG939550		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain 2-cLPN1						LN870108		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain 3S.teres-18S						MT640277		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain cAcq4						LN870095		
