taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Pseudomicrothorax;Pseudomicrothorax dubius;strain Bernhard-1992						X65151		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Pseudomicrothorax;Pseudomicrothorax dubius;strain N5b						AF039086; L41557		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Pseudomicrothorax;Pseudomicrothorax dubius;strain Nb4						AF039087		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Pseudomicrothorax;Pseudomicrothorax dubius;strain PS1A							EP01017; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Pseudomicrothorax;Pseudomicrothorax dubius;strain PSM1						FM201298		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Pseudomicrothorax;Pseudomicrothorax foliformis	species		Foissner 1987					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Pseudomicrothorax;strain Baroin-Tourancheau-1992						M98374; M98380		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;'MICRO-1 clade'						FJ810605; FJ810609; HF568855; LN587224		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida	order		Jankowski 1967					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae	family		Foissner 1995					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Apocolpodidium	genus		Foissner et al. 2002					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Apocolpodidium;Apocolpodidium etoschense	species		Foissner et al. 2002		Parafurgasonia sp. FG-2015			type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Apocolpodidium;Apocolpodidium etoschense;strain FXP_S011						KC832955; KM222070; KM222159; KX302682		it is not clear whether all sequences come from the same isolate as there are two potential geographic origins (Saudi Arabia and China)
