taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rsinica lineage';Remanella sinica;strain XY10110502						JQ768407		type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rsinica lineage';'R101 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'Rsinica lineage';'R101 lineage';strain R101						AM409181		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'XY09051201 lineage'	genus	true						candidate genus (unless it contains the type species of Remanella)
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Loxodida;Loxodidae;'XY09051201 lineage';strain XY09051201						JX015377		the quality of sequence JX015377 is dubious
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae	family		Kent 1881					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Apotrachelocerca	genus		Xu et al. 2011					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Apotrachelocerca;Apotrachelocerca arenicola	species		(Kahl 1933) Xu et al. 2011	Trachelocerca arenicola				type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Apotrachelocerca;Apotrachelocerca arenicola;strain XY09100901						JF800908		type strain of the species (neotype)
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Kovalevaia	genus		Foissner 1997			AB505535		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Kovalevaia;Kovalevaia sulcata	species		(Kovaleva 1966) Foissner 1997	Trachelonema sulcata				type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Kovalevaia;Kovalevaia sulcata;strain XY09090201						KC542934		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Trachelolophos	genus		Foissner & Dragesco 1996					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Trachelolophos;Trachelolophos gigas	species							type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Trachelolophos;Trachelolophos quadrinucleatus	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;Trachelolophos;Trachelolophos quadrinucleatus;strain YY2012112308						KT361660		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'T41 lineage'	genus	true						
