taxon	UniEuk id	author	rank	status	type	candidate	description	synonyms	alternative names	accessions	envo terms	locations	EukProt ID	reference
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae;	UniEuk#113		family											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae;Acytostelium;	UniEuk#114		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae;Heterostelium;	UniEuk#115		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae;Rostrostelium;	UniEuk#116		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Cavenderia;	UniEuk#117		genus						Cavenderiaceae					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;	UniEuk#118		order											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Coremiostelium;	UniEuk#119		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;	UniEuk#120		family											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Dictyostelium;	UniEuk#121		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Polysphondylium;	UniEuk#122		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Raperosteliaceae;	UniEuk#123		family											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Raperosteliaceae;Hagiwaraea;	UniEuk#124		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Raperosteliaceae;Raperostelium;	UniEuk#125		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Raperosteliaceae;Speleostelium;	UniEuk#126		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Raperosteliaceae;Tieghemostelium;	UniEuk#127		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Synstelium;	UniEuk#128		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;	UniEuk#129	Macbride 1899							Myxomycetes					
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;	UniEuk#130	Cavalier-Smith 2013												
