taxon	UniEuk id	author	rank	status	type	candidate	description	synonyms	alternative names	accessions	envo terms	locations	EukProt ID	reference
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;'YY2012052201 lineage';strain YY2012052201;	UniEuk#3760									MT175516				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;'YY2012052201 lineage';strain aPFEU1;	UniEuk#3758									LN869952				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;'YY2012052201 lineage';strain cPFEU1;	UniEuk#3759									LN870136				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;Linostomella vorticella;	UniEuk#3755	Aescht 1999 in Foissner et al. 1999	species					Bursaria vorticella						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;Linostomella vorticella;strain CY2019010501;	UniEuk#3756									MN783328				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;	UniEuk#1367	Kahl 1932	genus						Gruberiidae					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia binucleata;	UniEuk#3761	Dragesco 1960	species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia foissneri;	UniEuk#3762	Chi et al. 2020	species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia foissneri;strain CY2018122001;	UniEuk#3763									MN783327				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;	UniEuk#3764	Kahl 1932	species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain Campello-Nunes-2017;	UniEuk#3765									MF498874				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain FXP09051702;	UniEuk#3766									MT175519				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain Hirt-1995;	UniEuk#3767									L31517				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain SKS1057;	UniEuk#3768									MH024390				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain SKS307S308;	UniEuk#3769									KJ651818				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain SKS789;	UniEuk#3770									KX119520				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain SKS793;	UniEuk#3771									KX119521				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia uninucleata;	UniEuk#3772	Kahl 1932	species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;	UniEuk#1368	Stein 1863	genus					Spirostomina	Peritromidae	JX268906				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;'BB2F04 lineage';	UniEuk#3773		species			true				FJ000078				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus emmae;	UniEuk#3774		species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus faurei;	UniEuk#3775		species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus faurei;strain Miao-2008;	UniEuk#3776									EU583993				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;	UniEuk#3777		species							DQ103838;DQ103849;DQ103850;EF526730;EF526745;EF526750;EF526753;EF526768;EF526771;EF526774;EF526779;EF526805;EF526819;EF526820;EF526830;JX268876				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;strain CRM-2008-11-28-01(SCNU);	UniEuk#3778									GQ926915				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;strain CY2018101501;	UniEuk#3779									MT175520				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;strain Fernandes-2015;	UniEuk#3780									KP970237				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;strain Petroni-2003;	UniEuk#3781									AJ537427				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;strain SKS320;	UniEuk#3782									KJ651830				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;	UniEuk#1369	Stein 1867	family							JX268942				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;	UniEuk#1370	Isquith 1968	genus							JX268854				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;'RM2-SGM24 lineage';	UniEuk#3973		species			true				AB505532				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia clarissima;	UniEuk#3964	Isquith 1968	species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia clarissima;strain CY2019030101;	UniEuk#3965									MT175527				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia clarissima;strain FXP2010042201;	UniEuk#3966									KM222109				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia clarissima;strain YY2012050702;	UniEuk#3967									KR815914				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia paraclarissima;	UniEuk#3968		species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia paraclarissima;strain FXP09051701;	UniEuk#3969									MT175526				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia paraclarissima;strain KR-09040702;	UniEuk#3970									HM140405				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia paraclarissima;strain SKS670;	UniEuk#3971									KU848241				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Anigsteinia;Anigsteinia paraclarissima;strain SKS686;	UniEuk#3972									KU848242				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;	UniEuk#1371	Ehrenberg 1834	genus					Peltierius;Spirogonella;Spironectum						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';	UniEuk#4004		species			true								
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain 6103103;	UniEuk#4005									FJ998026				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain 72;	UniEuk#4006									HE664173				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain CY2018043001;	UniEuk#4008									MK929559				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain Fernandes-2011;	UniEuk#4009									JQ282896				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain Fernandes-2015;	UniEuk#4010									KP970239				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain JD1;	UniEuk#4011									LT628484				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain PBG1;	UniEuk#4012									HG939547				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS1018;	UniEuk#4013									MK688535				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS1044;	UniEuk#4014									MK688536				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS1058;	UniEuk#4015									MK688537				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS1073;	UniEuk#4016									MK688538				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS161;	UniEuk#4017									KU848229				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS182;	UniEuk#4018									KU848230				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS214;	UniEuk#4019									MK688529				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS215;	UniEuk#4020									KJ651821				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS255;	UniEuk#4021									KU848234				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS386;	UniEuk#4022									KU848237				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS731;	UniEuk#4023									KU848238				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS743;	UniEuk#4024									KU848239				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS794;	UniEuk#4025									MK688530				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS840;	UniEuk#4026									MK688531				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS939;	UniEuk#4027									MK688532				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SKS940;	UniEuk#4028									MK688533				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SS5;	UniEuk#4030									HG939548				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain SmPS;	UniEuk#4029									HG939546				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Sminus2 lineage';strain bLdG1;	UniEuk#4007									LN870002				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';	UniEuk#4110		species			true								
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';strain PF1a;	UniEuk#4114									HG939532				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';strain PFEU1_Spte;	UniEuk#4115									HG939553				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';strain aPFEU2;	UniEuk#4111									LN869958				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';strain cLPN2;	UniEuk#4112									LN870116				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';strain cPFEU1;	UniEuk#4113									LN870138				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';	UniEuk#3974													
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';'Steres3 lineage';	UniEuk#3999		species			true								
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';'Steres3 lineage';strain A522;	UniEuk#4000									KY855541				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';'Steres3 lineage';strain Mdg3;	UniEuk#4001									HG939538				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum dharwarensis;	UniEuk#3975		species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum dharwarensis;strain FYB2013040805;	UniEuk#3976									MT175523				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum dharwarensis;strain Sad;	UniEuk#3977									HG939537				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;	UniEuk#3978		species							LC150081				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain 06103102;	UniEuk#3979									MT175524				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain CY2018040901;	UniEuk#3980									MT175521				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain GNS4;	UniEuk#3981									HG939535				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain LarnCyp;	UniEuk#3982									HG939533				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain Pozz;	UniEuk#3983									HG939536				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS071;	UniEuk#3984									KU848227;KX119518				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS1020;	UniEuk#3985									MK688553				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS1032;	UniEuk#3986									MH460446				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS164;	UniEuk#3987									MK688545				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS165;	UniEuk#3988									MK688546				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS315;	UniEuk#3989									MK688547				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS583;	UniEuk#3990									MK688548				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS787;	UniEuk#3991									KX119519				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS963;	UniEuk#3992									MK688549				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS964;	UniEuk#3993									MK688550				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS977;	UniEuk#3994									MK688551				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SKS983;	UniEuk#3995									MK688552				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain SpirWS;	UniEuk#3996									HG939534				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain YY2013041401;	UniEuk#3997									MT175522				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'brackish clade';Spirostomum yagiui;strain ZTY2016110502;	UniEuk#3998									MN176348				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Pseudoblepharisma tenue;	UniEuk#4002		species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Pseudoblepharisma tenue;strain FL1;	UniEuk#4003									MK543441				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;	UniEuk#4031	Ehrenberg 1834	species					Trichoda ambigua						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain 06103105;	UniEuk#4032									MT175525				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain 1S.ambiguum-18S;	UniEuk#4033									MT640275				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain 6103104;	UniEuk#4034									FJ998027				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain Fernandes-2015;	UniEuk#4035									KP970238				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain Hirt-1995;	UniEuk#4036									L31518				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain KKR19;	UniEuk#4037									KY855542				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS1050;	UniEuk#4040									MK688526				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS167;	UniEuk#4041									KJ651819				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS169;	UniEuk#4042									MK688527				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS184;	UniEuk#4043									MK688522				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS185;	UniEuk#4044									KU848231				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS204;	UniEuk#4045									KU848232				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS254;	UniEuk#4046									KU848233				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS363;	UniEuk#4047									KU848236				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS779;	UniEuk#4048									KU848240				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS947;	UniEuk#4049									MK688523				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS949;	UniEuk#4050									MK688524				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SKS989;	UniEuk#4051									MK688525				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SS4-2;	UniEuk#4054									HG939551				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain Schmidt-2006;	UniEuk#4038									AM398201				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain Seef2;	UniEuk#4039									HG939552				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain SpiAm1;	UniEuk#4052									JQ723981				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum ambiguum;strain Spirot1;	UniEuk#4053									KF639912				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum caudatum;	UniEuk#4055		species											
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum caudatum;strain SKS302;	UniEuk#4056									KJ651820				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum caudatum;strain SKS813;	UniEuk#4057									MK688528				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;	UniEuk#4058		species							FN826788;FN826789;FN826837;FN826838;FN826843-FN826845;FN826852;FN826873;FN826876;FN826883;FN826895;FN826896;FN826898;LT993460;LT993462				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain 1-cLPN1;	UniEuk#4059									LN870107				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum minus;strain Gmn;	UniEuk#4060									HG939543				
